,time_period,rainfall,mean_temperature,population,location
0,2019-10,0.0,27.1899728775024,676286.0,11001
1,2019-11,0.0,26.736798286438,676286.0,11001
2,2019-12,0.0,26.31030654907225,676286.0,11001
0,2019-10,0.0,27.3036823272705,84771.0,11002
1,2019-11,0.0,26.75800704956055,84771.0,11002
2,2019-12,0.0,26.0375118255615,84771.0,11002
0,2019-10,0.0,27.153019905090304,206332.0,11003
1,2019-11,0.0,26.79066276550295,206332.0,11003
2,2019-12,0.0,26.16055297851565,206332.0,11003
0,2019-10,0.0,26.9636516571045,294493.0,11004
1,2019-11,0.0,26.4459285736084,294493.0,11004
2,2019-12,0.0,25.742127418518105,294493.0,11004
0,2019-10,0.0,26.829501152038603,69746.0,11005
1,2019-11,0.0,26.38558769226075,69746.0,11005
2,2019-12,0.0,25.5892782211304,69746.0,11005
