,time_period,rainfall,mean_temperature,disease_cases,population,location
0,2001-01,0.0,25.8260793685913,267.0,426640.0,11001
1,2001-02,0.0,26.34370613098145,67.0,426640.0,11001
2,2001-03,0.0,26.01889610290525,60.0,426640.0,11001
3,2001-04,0.0,26.77039909362795,35.0,426640.0,11001
4,2001-05,0.0,25.3299970626831,62.0,426640.0,11001
5,2001-06,0.0,24.29756355285645,35.0,426640.0,11001
6,2001-07,0.0,25.8048849105835,11.0,426640.0,11001
7,2001-08,0.0,26.7190752029419,8.0,426640.0,11001
8,2001-09,0.0,27.1440887451172,1.0,426640.0,11001
9,2001-10,0.0,28.009186744689952,3.0,426640.0,11001
10,2001-11,0.0,26.874888420105,11.0,426640.0,11001
11,2001-12,0.0,26.1135406494141,7.0,426640.0,11001
12,2002-01,0.0,26.6732454299927,53.0,437202.0,11001
13,2002-02,0.0,26.34788608551025,120.0,437202.0,11001
14,2002-03,0.0,26.4308376312256,104.0,437202.0,11001
15,2002-04,0.0,26.89532661437985,29.0,437202.0,11001
16,2002-05,0.0,26.38393592834469,15.0,437202.0,11001
17,2002-06,0.0,24.88707160949705,5.0,437202.0,11001
18,2002-07,0.0,25.6720142364502,13.0,437202.0,11001
19,2002-08,0.0,26.5762567520142,3.0,437202.0,11001
20,2002-09,0.0,27.13119792938235,7.0,437202.0,11001
21,2002-10,0.0,28.073963165283203,36.0,437202.0,11001
22,2002-11,0.0,26.83206272125245,134.0,437202.0,11001
23,2002-12,0.0,26.470757484436,63.0,437202.0,11001
24,2003-01,0.0,26.8823652267456,272.0,448419.0,11001
25,2003-02,0.0,26.45219802856445,156.0,448419.0,11001
26,2003-03,0.0,26.1708583831787,90.0,448419.0,11001
27,2003-04,0.0,26.5859079360962,31.0,448419.0,11001
28,2003-05,0.0,26.38455772399905,26.0,448419.0,11001
29,2003-06,0.0,26.08985042572025,11.0,448419.0,11001
30,2003-07,0.0,25.3056001663208,17.0,448419.0,11001
31,2003-08,0.0,24.209072113037102,32.0,448419.0,11001
32,2003-09,0.0,25.787784576416,20.0,448419.0,11001
